Cruise,Station,lon,lat,z,pres,temp,sal,theta,sigma,o2
SR04_06AQANTIX_2,95,342.7367,-69.0767,2825.768,2873.9999179772735,-0.2269,34.659599,-0.3946409341458285,27.85130607356018,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2829.675,2878.0001956892656,-0.2269,34.660198,-0.394971806698879,27.851806222729692,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2833.582,2882.0005457546836,-0.2279,34.659401,-0.3962741987151587,27.851223624625845,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2837.488,2885.9999442482736,-0.2279,34.658699,-0.39659900267038944,27.85067135674126,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2841.395,2890.0004389886753,-0.2279,34.659401,-0.3969311206925674,27.851254855550906,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2845.301,2893.9999821113224,-0.2289,34.658501,-0.3982335424674917,27.850588918468702,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2849.207,2897.999597532569,-0.2289,34.657902,-0.39855956834250456,27.850119991775728,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2853.114,2902.0003092428174,-0.2289,34.658501,-0.3988919067224488,27.85062019830457,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2857.02,2906.0000692664316,-0.2299,34.659,-0.40020195009840537,27.85108597172689,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2860.926,2909.9999015753037,-0.2299,34.658298,-0.40052817830504334,27.850533744651102,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2864.832,2913.999806164986,-0.2309,34.660099,-0.4018451770595051,27.852052775395123,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2868.738,2917.9997830310326,-0.2309,34.659401,-0.40217189843096196,27.85150379649349,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2872.644,2921.9998321689936,-0.2309,34.658798,-0.4024993393947638,27.85103167760144,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2876.55,2925.999953574424,-0.2319,34.659199,-0.4038099746223509,27.851418165965015,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2880.456,2930.0001472428758,-0.2319,34.659901,-0.40414445759481143,27.85200176104945,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2884.362,2934.0004131699015,-0.2329,34.659,-0.40544895711197015,27.851334965583646,NA
